Date,Close
23/01/2019,47.3
24/01/2019,47.52
25/01/2019,47.69
28/01/2019,48.01
29/01/2019,48.22
30/01/2019,50.27
31/01/2019,49.43
01/02/2019,49.92
04/02/2019,50.34
05/02/2019,50.54
06/02/2019,50.52
07/02/2019,50.41
08/02/2019,50.47
11/02/2019,50.61
12/02/2019,49.89
13/02/2019,50.41
14/02/2019,50.48
15/02/2019,51.08
19/02/2019,51.82
20/02/2019,51.24
21/02/2019,51.48
22/02/2019,51.52
25/02/2019,51.41
26/02/2019,51.12
27/02/2019,50.43
28/02/2019,49.58
01/03/2019,48.96
04/03/2019,48.79
05/03/2019,49.72
06/03/2019,49.71
07/03/2019,49.59
08/03/2019,49.59
11/03/2019,51.12
12/03/2019,50.67
13/03/2019,51.02
14/03/2019,50.94
15/03/2019,51.19
18/03/2019,50.74
19/03/2019,50.96
20/03/2019,49.87
21/03/2019,50.3
22/03/2019,49.76
25/03/2019,49.03
26/03/2019,49.09
27/03/2019,49.97
28/03/2019,50.32
29/03/2019,51.65
01/04/2019,52.18
02/04/2019,55.33
03/04/2019,57
04/04/2019,57.22
05/04/2019,57.73
08/04/2019,57.71
09/04/2019,56.95
10/04/2019,57.86
11/04/2019,58.39
12/04/2019,58.05
15/04/2019,57.45
16/04/2019,58.11
17/04/2019,58.43
18/04/2019,58.17
22/04/2019,57.75
23/04/2019,58.24
24/04/2019,57.85
25/04/2019,56.71
26/04/2019,57.11
29/04/2019,57.73
30/04/2019,58.29
01/05/2019,57.18
02/05/2019,57.66
03/05/2019,57.8
06/05/2019,57.73
07/05/2019,57.17
08/05/2019,56.45
09/05/2019,56.59
10/05/2019,56.62
13/05/2019,54.8
14/05/2019,55.25
15/05/2019,55.05
16/05/2019,55.38
17/05/2019,54.89
20/05/2019,54.28
21/05/2019,54.83
22/05/2019,54.06
23/05/2019,54
24/05/2019,54.12
28/05/2019,53.88
29/05/2019,53.21
30/05/2019,53.03
31/05/2019,51.5
03/06/2019,52.1
04/06/2019,54.31
05/06/2019,54.94
06/06/2019,54.69
07/06/2019,55.07
10/06/2019,54.73
11/06/2019,54.88
12/06/2019,55.45
13/06/2019,56.52
14/06/2019,55.99
17/06/2019,55.67
18/06/2019,56.03
19/06/2019,56.36
20/06/2019,55.97
21/06/2019,55.99
24/06/2019,56.07
25/06/2019,55.92
26/06/2019,56.38
27/06/2019,56.82
28/06/2019,56.75
01/07/2019,57.79
02/07/2019,58.54
03/07/2019,59.15
05/07/2019,58.7
08/07/2019,59.37
09/07/2019,58.96
10/07/2019,59.47
11/07/2019,60.16
12/07/2019,61.65
15/07/2019,61.7
16/07/2019,63.16
17/07/2019,62.25
18/07/2019,62.66
19/07/2019,60.91
22/07/2019,61.29
23/07/2019,63.09
24/07/2019,63.16
25/07/2019,62.23
26/07/2019,62.16
29/07/2019,62.46
30/07/2019,62.63
31/07/2019,61.04
01/08/2019,60.32
02/08/2019,60.13
05/08/2019,57.82
06/08/2019,58.79
07/08/2019,59.24
08/08/2019,60.03
09/08/2019,59.53
12/08/2019,58.66
13/08/2019,58.84
14/08/2019,57.23
15/08/2019,57.11
16/08/2019,58.04
19/08/2019,58.19
20/08/2019,57.68
21/08/2019,58.01
22/08/2019,57.96
23/08/2019,56.2
26/08/2019,56.28
27/08/2019,56.14
28/08/2019,56.68
29/08/2019,57.88
30/08/2019,57.86
03/09/2019,57.29
04/09/2019,57.23
05/09/2019,58.19
06/09/2019,57.98
09/09/2019,58.11
10/09/2019,58.64
11/09/2019,58.78
12/09/2019,59.44
13/09/2019,60.01
16/09/2019,59.07
17/09/2019,59.37
18/09/2019,59.31
19/09/2019,58.69
20/09/2019,58.63
23/09/2019,58.02
24/09/2019,58
25/09/2019,58.31
26/09/2019,58.78
27/09/2019,58.28
30/09/2019,57.6
01/10/2019,57.01
02/10/2019,54.35
03/10/2019,52.83
04/10/2019,53.81
07/10/2019,53.36
08/10/2019,53.2
09/10/2019,53.92
10/10/2019,53.1
11/10/2019,52.95
14/10/2019,52.99
15/10/2019,53.64
16/10/2019,53.17
17/10/2019,53.37
18/10/2019,53.83
21/10/2019,54.58
22/10/2019,54.65
23/10/2019,53.81
24/10/2019,53.79
25/10/2019,54.6
28/10/2019,55.17
29/10/2019,55.38
30/10/2019,55.32
31/10/2019,55.08
01/11/2019,56.02
04/11/2019,56.88
05/11/2019,57.51
06/11/2019,57.58
07/11/2019,57.66
08/11/2019,57.58
11/11/2019,57.21
12/11/2019,57.22
13/11/2019,56.5
14/11/2019,56.55
15/11/2019,56.85
18/11/2019,57.08
19/11/2019,57.07
20/11/2019,55.67
21/11/2019,55.31
22/11/2019,56.11
25/11/2019,56.35
26/11/2019,57.46
27/11/2019,57.07
29/11/2019,57.31
02/12/2019,56.75
03/12/2019,55.62
04/12/2019,56.06
05/12/2019,55.88
06/12/2019,56.14
09/12/2019,55.8
10/12/2019,55.53
11/12/2019,55.08
12/12/2019,56.69
13/12/2019,56.73
16/12/2019,58.42
17/12/2019,58.69
18/12/2019,58.58
19/12/2019,59.14
20/12/2019,58.97
23/12/2019,59.44
24/12/2019,59.39
26/12/2019,59.56
27/12/2019,59.08
30/12/2019,58.66
31/12/2019,58.48
02/01/2020,59.04
03/01/2020,58.06
06/01/2020,57.66
07/01/2020,57.61
08/01/2020,58.85
09/01/2020,58.96
10/01/2020,59.24
13/01/2020,59.49
14/01/2020,61.45
15/01/2020,61.62
16/01/2020,61.88
17/01/2020,62.03
21/01/2020,60.34
22/01/2020,59.64
23/01/2020,60.27
24/01/2020,58.81
27/01/2020,56.83
28/01/2020,57.48
29/01/2020,56.65
30/01/2020,57.1
31/01/2020,55.74
03/02/2020,56.04
04/02/2020,57.93
05/02/2020,58.89
06/02/2020,58.18
07/02/2020,57.92
10/02/2020,57.71
11/02/2020,58.66
12/02/2020,59.47
13/02/2020,59.13
14/02/2020,58.9
18/02/2020,58.72
19/02/2020,58.51
20/02/2020,58.38
21/02/2020,57.87
24/02/2020,54.23
25/02/2020,50.89
26/02/2020,49.59
27/02/2020,48.19
28/02/2020,46.13
02/03/2020,47.16
03/03/2020,46.18
04/03/2020,48.5
05/03/2020,45.01
06/03/2020,45.89
09/03/2020,43.52
10/03/2020,45.47
11/03/2020,42.67
12/03/2020,33.71
13/03/2020,38.36
16/03/2020,35.81
17/03/2020,31.74
18/03/2020,23.49
19/03/2020,21.51
20/03/2020,21.35
23/03/2020,22.22
24/03/2020,26.89
25/03/2020,31.1
26/03/2020,31.7
27/03/2020,29.55
30/03/2020,28.67
31/03/2020,28.53
01/04/2020,23.87
02/04/2020,22.68
03/04/2020,22.48
06/04/2020,22.32
07/04/2020,22.25
08/04/2020,23.23
09/04/2020,24.39
13/04/2020,23.25
14/04/2020,24.54
15/04/2020,24.35
16/04/2020,22.78
17/04/2020,24.27
20/04/2020,23.64
21/04/2020,23.1
22/04/2020,22.47
23/04/2020,22.48
24/04/2020,22.41
27/04/2020,22.16
28/04/2020,24.34
29/04/2020,27.32
30/04/2020,25.91
01/05/2020,24.12
04/05/2020,22.57
05/05/2020,21.71
06/05/2020,21
07/05/2020,21.68
08/05/2020,22.72
